industria,tipo,K_2012,K_2017
111CA,E,210.8151004,129.2826525
111CA,N,0.05686190476,0.05308783327
111CA,S,253.4878801,224.1665945
113FF,E,33.95736731,16.607217
113FF,N,0.1353743207,0.06556725461
113FF,S,18.68330894,16.45409099
211,E,54.15260434,115.2529002
211,N,8.744039609,11.67331661
211,S,1464.481286,1770.025415
212,E,43.68310231,18.94988828
212,N,1.383163222,0.334394645
212,S,110.7721479,117.0382803
213,E,71.60372302,33.74204943
213,N,1.94726701,19.44451672
213,S,53.88716062,39.61033338
22,E,498.8863593,336.1010759
22,N,8.973254686,0.2077616669
22,S,1505.63737,1342.134233
23,E,183.1757609,113.0187647
23,N,6.39643848,0.6023973218
23,S,87.07276629,76.33112167
311FT,E,149.705923,87.61434247
311FT,N,23.24760722,6.461808648
311FT,S,126.7860721,129.6060273
313TT,E,16.49193837,9.123433808
313TT,N,2.396261023,0.6829095257
313TT,S,23.15844203,19.84109236
315AL,E,5.06548826,2.603833405
315AL,N,2.341639321,0.7121836617
315AL,S,11.13799958,9.619136899
321,E,16.31526976,7.098099773
321,N,0.5560048475,0.07894256285
321,S,21.31381491,18.20484492
322,E,67.48857659,54.53853646
322,N,7.231220313,1.980646622
322,S,38.38679298,32.75693595
323,E,27.32460115,23.47017129
323,N,4.282662133,0.8011424283
323,S,18.73995726,16.02855838
324,E,107.1077839,65.37124844
324,N,35.10354741,10.87159512
324,S,61.9230723,94.03167209
325,E,154.4417217,175.4032572
325,N,463.0426602,242.7727779
325,S,147.7768688,126.358928
326,E,51.36746559,30.07433343
326,N,11.8334633,3.493153162
326,S,30.69607442,34.07381488
327,E,42.75331973,23.43203191
327,N,15.81854138,5.67650129
327,S,32.77286679,27.97191798
331,E,91.30628183,139.3929226
331,N,12.08105594,4.025883856
331,S,65.82985942,56.29724779
332,E,96.44695894,71.11879465
332,N,17.65924245,5.544274857
332,S,55.79038069,47.69744221
333,E,96.50768754,59.2654433
333,N,49.9582669,15.95042617
333,S,67.20331404,57.61965142
334,E,141.3073137,66.82336841
334,N,209.6528218,70.40174969
334,S,145.6690008,124.7527094
335,E,22.01426169,11.31472091
335,N,19.08424505,6.380064376
335,S,27.80493004,23.95551453
3361MV,E,100.3025956,76.09497046
3361MV,N,42.66127606,3.682037284
3361MV,S,52.75937096,44.94750857
3364OT,E,40.53067471,42.28777399
3364OT,N,61.96724788,13.68791914
3364OT,S,55.13153927,47.09873728
337,E,8.883094812,6.480685757
337,N,2.293837685,0.5177872825
337,S,10.68697826,9.148292821
339,E,33.09627379,23.72145374
339,N,28.32608025,8.467849152
339,S,32.31551226,27.63096716
42,E,217.433884,89.52252482
42,N,47.98880001,4.160039721
42,S,255.5203295,342.1425463
441,E,24.50774389,34.13444377
441,N,2.995298627,0.4015784879
441,S,162.5208066,142.7902766
445,E,53.87013612,24.5274245
445,N,3.9402112,0.4769003286
445,S,164.0914028,143.9510444
452,E,39.87762812,16.99820413
452,N,5.515083357,1.619207229
452,S,158.6623253,139.2716713
481,E,169.9555743,113.3991307
481,N,1.901043095,5.575570475
481,S,55.13350897,48.979387
482,E,37.69195881,284.1663016
482,N,1.262299015,7608.093167
482,S,335.8662689,300.5670529
483,E,37.85231363,25.7869102
483,N,0.3348976792,0.0007663297771
483,S,6.344409979,5.589563088
484,E,89.3781813,52.28906092
484,N,1.012380112,0.02868572756
484,S,23.24945409,20.08219402
485,E,16.51144675,135.0316192
485,N,0.3751261555,0.008087742608
485,S,26.13901079,23.1593178
486,E,24.73219144,10.65967534
486,N,0.8457069534,0.6503493792
486,S,154.9468262,135.1565039
487OS,E,64.4785873,51.11031965
487OS,N,2.034364871,0.05436644045
487OS,S,62.49675122,56.15417129
493,E,8.326452011,3.626391921
493,N,0.4803613952,0.01120564339
493,S,33.40922586,30.6370228
4A0,E,145.8821968,108.0121206
4A0,N,19.20196322,1.245412508
4A0,S,418.6396069,366.947737
511,E,28.01920185,711.3669703
511,N,195.4395279,50.32158415
511,S,46.92528637,40.77603323
512,E,11.31562742,21.0975031
512,N,215.2011549,107.776905
512,S,33.00386922,28.59070173
513,E,318.0504281,505.5745935
513,N,146.610058,39.21222839
513,S,779.0080586,687.4333538
514,E,32.55786603,6.59486114
514,N,55.4421594,5.713881547
514,S,22.18616527,286.7183001
521CI,E,361.1551055,141.0639922
521CI,N,32.60079412,0.945977677
521CI,S,360.9658062,508.4508174
523,E,32.67694363,26.23387606
523,N,21.8860249,4.971635718
523,S,101.6536928,89.27567632
524,E,45.43025252,16.10389218
524,N,40.54066977,1.238046471
524,S,155.2299235,205.7350567
525,E,1.076318711,0.4394771078
525,N,0.7212405543,0.2169779252
525,S,39.04315067,34.45115996
532RL,E,350.0176297,253.3035113
532RL,N,1.394439607,0.01323935339
532RL,S,23.43321742,20.44672077
5411,E,15.70822796,5.132715522
5411,N,2.823971676,0.04137729549
5411,S,24.3919438,25.35177757
5412OP,E,120.3759716,235.5537286
5412OP,N,211.4784606,52.41811342
5412OP,S,116.36844,109.7938884
5415,E,26.43076569,324.3179586
5415,N,42.74917061,1.816228856
5415,S,25.50381458,22.41887193
55,E,43.92572316,59.03068202
55,N,44.86030756,17.9166879
55,S,282.2088194,248.024614
561,E,75.72634786,27.85809679
561,N,29.3933864,1.095683384
561,S,56.57037519,220.8844944
562,E,26.02256444,17.39379405
562,N,0.8500440075,0.1063035639
562,S,71.24242695,63.30660945
61,E,46.84317551,38.43965121
61,N,24.20399241,3.958052396
61,S,430.3049448,389.7808977
621,E,130.4308934,84.52058738
621,N,11.85024694,1.61566047
621,S,182.6237919,162.4254762
622,E,184.233821,119.5201972
622,N,18.02041754,1.681535787
622,S,608.1899699,551.7646439
623,E,17.93800704,7.76442909
623,N,2.109645159,1.783185012
623,S,61.79085904,55.3881479
624,E,10.79884626,7.561155822
624,N,0.9969905765,0.03541302416
624,S,44.14672098,39.04837282
711AS,E,18.23495259,29.46510369
711AS,N,48.15662244,18.89470274
711AS,S,83.95324162,73.58606538
713,E,31.52898862,18.45719502
713,N,1.188472624,0.06656348437
713,S,119.7705527,103.14267
721,E,36.1609432,16.06626601
721,N,2.384141448,4.546057602
721,S,299.2710495,259.4276409
722,E,73.50393591,31.83111899
722,N,1.765890399,0.09074826992
722,S,150.5740896,161.1753161
81,E,86.45073048,60.78834789
81,N,26.78292288,5.722274297
81,S,464.332665,417.0412396
HS,R,16320.95131,16320.95131
ORE,E,62.713481,29.62848972
ORE,N,3.754532699,0.2997336053
ORE,S,1075.119626,941.4690921
